name,start,end,type,fmt
KPSTARF,1407,1408,d,N2.
KPENROLF,1409,1410,d,N2.
SEENJOF,1411,1412,d,N2.
SEDOWELF,1413,1414,d,N2.
HABOOKF,1415,1416,d,N2.
FOREADTF,1417,1418,d,N2.
MOTHERFF,1419,1420,d,N2.
FATHERMF,1421,1422,d,N2.
SISBRF,1423,1424,d,N2.
ANOTADLF,1425,1426,d,N2.
SOMEONEF,1427,1428,d,N2.
FORDDAF,1429,1430,d,N2.
FOPICTF,1431,1432,d,N2.
FOLETTF,1433,1434,d,N2.
FOCHREAF,1435,1436,d,N2.
FOTLKSTF,1437,1438,d,N2.
HASTORF,1439,1440,d,N2.
HAWORDF,1441,1442,d,N2.
HAPRETNF,1443,1444,d,N2.
FOCHLRF,1445,1446,d,N2.
HALEAPPF,1447,1448,d,N2.
FOSTORF1,1449,1450,d,N2.
FOWORDF,1451,1452,d,N2.
FOMUSIF,1453,1454,d,N2.
FOCRAFF1,1455,1456,d,N2.
FOSPORF1,1457,1458,d,N2.
FOGAMEF1,1459,1460,d,N2.
FODINNEF,1461,1462,d,N2.
FOLIBRAF,1463,1464,d,N2.
FOBOOKSF,1465,1466,d,N2.
FOCONCRF,1467,1468,d,N2.
FOMUSEUF,1469,1470,d,N2.
FOZOF,1471,1472,d,N2.
FOGROUF,1473,1474,d,N2.
FOSPRTEF,1475,1476,d,N2.
TVHRWKDF,1477,1478,d,N2.
TVWKDYNF,1479,1480,d,N2.
TVHRWKNF,1481,1482,d,N2.
TVWKNDNF,1483,1484,d,N2.
ABCCBSCF,1485,1486,d,N2.
ANIMPLAF,1487,1488,d,N2.
CARTOONF,1489,1490,d,N2.
CHRSTNCF,1491,1492,d,N2.
DISCOVEF,1493,1494,d,N2.
DISNEYCF,1495,1496,d,N2.
SPORTSCF,1497,1498,d,N2.
FAMILYCF,1499,1500,d,N2.
MTVVF1,1501,1502,d,N2.
NICKELOF,1503,1504,d,N2.
NEWSNEF,1505,1506,d,N2.
NOGGIF,1507,1508,d,N2.
PBSSPRF,1509,1510,d,N2.
SPNLNGCF,1511,1512,d,N2.
LEARNCF,1513,1514,d,N2.
TVLANF,1515,1516,d,N2.
HISTCHAF,1517,1518,d,N2.
FOODNEF,1519,1520,d,N2.
TVOTHEF,1521,1522,d,N2.
VIDNOTF,1523,1524,d,N2.
TVCHMOSF,1525,1526,d,N2.
FORTVPRF,1527,1528,d,N2.
PARREAF,1529,1530,d,N2.
RPALPHF,1531,1532,d,N2.
RPSHARF,1533,1534,d,N2.
RPREAF,1535,1536,d,N2.
RPNUMF,1537,1538,d,N2.
RPPENCIF,1539,1540,d,N2.
RPDISCF,1541,1542,d,N2.
HDBRTHF5,1543,1544,d,N2.
HDBRTHF3,1545,1546,d,N2.
HDPRMTF4,1547,1548,d,N2.
HDHOSF,1549,1550,d,N2.
HDIFSF,1551,1552,d,N2.
HDHEALTF,1553,1554,d,N2.
HDCHINF,1555,1556,d,N2.
HDWEIGHF,1557,1558,d,N2.
HDWEIGHF2,1559,1560,d,N2.
HDLEARF,1561,1562,d,N2.
HDMENREF,1563,1564,d,N2.
HDSPEECF,1565,1566,d,N2.
HDDISTRF,1567,1568,d,N2.
HDDEAFIF,1569,1570,d,N2.
HDBLINF,1571,1572,d,N2.
HDORTHF,1573,1574,d,N2.
HDAUTISF,1575,1576,d,N2.
HDADF,1577,1578,d,N2.
HDPDF,1579,1580,d,N2.
HDOTHEF,1581,1582,d,N2.
HDSCHF,1583,1584,d,N2.
HDGOVF,1585,1586,d,N2.
HDDOCTOF,1587,1588,d,N2.
HDSOURCF,1589,1590,d,N2.
HDIEF,1591,1592,d,N2.
HDDEVIEF,1593,1594,d,N2.
HDSPCLEF,1595,1596,d,N2.
HDCOMMF,1597,1598,d,N2.
HDTCHF,1599,1600,d,N2.
HDACCOF,1601,1602,d,N2.
HDCOMMIF,1603,1604,d,N2.
HDAFFECF,1605,1606,d,N2.
CBORNUF,1607,1608,d,N2.
CMOVEAGF,1609,1610,d,N2.
CHISPAF,1611,1612,d,N2.
CWHITF,1613,1614,d,N2.
CBLACF,1615,1616,d,N2.
CAMINF,1617,1618,d,N2.
CASIAF,1619,1620,d,N2.
CPACF,1621,1622,d,N2.
CRACEOTF,1623,1624,d,N2.
MOMNEF1,1625,1626,d,N2.
MOMSTAF1,1627,1628,d,N2.
MOMLIVF1,1629,1630,d,N2.
MOMLANF1,1631,1632,d,N2.
MOMSPEAF1,1633,1634,d,N2.
MOMBORF1,1635,1636,d,N2.
MHISPAF1,1637,1638,d,N2.
MWHITF1,1639,1640,d,N2.
MBLACF1,1641,1642,d,N2.
